title,pdate,ptime
"ดาวโจนส์ไหลไม่หยุด ล่าสุดทรุดกว่า 600 จุด หลุดแนว 34,000",2022-01-25,22:24:00
"ดาวโจนส์พุ่งกว่า 400 จุด ขานรับผลประกอบการ ""ไมโครซอฟท์""",2022-01-26,22:15:00
บอนด์ยีลด์สหรัฐชะลอตัว หลังพุ่งวานนี้ขานรับผลประชุมเฟด,2022-01-27,22:53:00
บอนด์ยีลด์สหรัฐปรับตัวไร้ทิศทาง หลังเผยเงินเฟ้อสูงสุดรอบเกือบ 40 ปี,2022-01-28,23:45:00
ฮ่องกงสั่งปรับบริษัทในเครือซิตี้กรุ๊ป 45 ล้านดอล์ เหตุทำผิดกรณีซื้อขายหุ้น,2022-01-29,11:28:00
บิตคอยน์ส่งสัญญาณฟื้นตัวแกร่งหลังร่วงหนักสุดนับตั้งแต่ปี 2563,2022-01-31,23:15:00
"หุ้น ""เทสลา"" ร่วง หลังเรียกคืนรถยนต์กว่า 50,000 คัน",2022-02-01,22:27:00
"ดาวโจนส์พลิกร่วงแดนลบ กังวลวิกฤตยูเครน,ผิดหวังจ้างงานภาคเอกชน",2022-02-02,22:34:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ร่วงกว่า 700 จุด ขายทำกำไรฉุดตลาด,2022-02-03,23:06:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 250 จุด ผวาเฟดขึ้นดอกเบี้ยแรงเดือนหน้า,2022-02-04,23:12:00
THCOM เผยกำไรจากการดำเนินงานกลับมาบวกหลังสิ้นสุดสัมปทานค่าเสื่อม-ค่าสัมปทานลดลง,2022-02-05,15:05:00
บอนด์ยีลด์สหรัฐพุ่งไม่หยุด ล่าสุดทะลุ 1.93% เก็งเฟดขึ้นดบ.เร็วและแรง,2022-02-07,22:11:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 200 จุด ขานรับผลประกอบการแกร่ง,2022-02-08,23:21:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 300 จุด ก่อนเผยตัวเลขเงินเฟ้อ,2022-02-09,23:04:00
บอนด์ยีลด์สหรัฐพุ่งไม่หยุด ล่าสุดทะลุ 2% หลังเผยเงินเฟ้อสูงสุด 40 ปี,2022-02-10,23:12:00
ดาวโจนส์พลิกร่วงแดนลบ กังวลเฟดเร่งขึ้นดอกเบี้ย,2022-02-11,23:56:00
เวียดนามติดท็อปเทนประเทศที่มีประชาชนถือครองคริปโทฯมากที่สุดในโลก,2022-02-12,13:35:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 300 จุด จับตายูเครน,แนวโน้มเฟดขึ้นดอกเบี้ย",2022-02-14,22:09:00
"หุ้นรัสเซีย,ค่าเงินรูเบิลดีดตัว ขานรับคลายกังวลยูเครน",2022-02-15,23:33:00
ดอลลาร์อ่อนค่า ก่อนเฟดเผยรายงานการประชุม,2022-02-16,23:22:00
สกุลเงินรูเบิลทรุด กังวลรัสเซียใกล้เปิดฉากทำสงครามยูเครน,2022-02-17,23:06:00
บอนด์ยีลด์สหรัฐร่วงวันที่ 2 นักลงทุนแห่ซื้อพันธบัตร กังวลวิกฤตยูเครน,2022-02-18,22:03:00
แต่งตั้งเจ้าหน้าที่ธนาคารแห่งประเทศไทย ผู้มีอำนาจลงนามในใบพันธบัตรธนาคารแห่งประเทศไทย และพันธบัตรออมทรัพย์ธนาคารแห่งประเทศไทย,2022-02-19,13:55:00
"เงินยูโร,ปอนด์แข็งค่าเทียบดอลล์ ขานรับ PMI ขยายตัวแข็งแกร่ง",2022-02-21,18:48:00
ดาวโจนส์ร่วงกว่า 100 จุด กังวลวิกฤตยูเครน หุ้นพลังงานพยุงตลาด,2022-02-22,22:25:00
ดาวโจนส์พลิกร่วงแดนลบ หลังพุ่งกว่า 100 จุดในช่วงแรก,2022-02-23,23:01:00
"รัสเซียประกาศระงับการซื้อขายทุกตลาด หลังราคาหุ้น,ค่าเงินรูเบิลทรุดหนัก",2022-02-24,23:18:00
ดาวโจนส์ร้อนแรง ทะยานกว่า 600 จุด ขานรับวิกฤตยูเครนใกล้ปิดฉาก,2022-02-25,23:20:00
S&P ลดเครดิตยูเครนเหลือ B- หวั่นรัสเซียบุกฉุดเศรษฐกิจ-เสถียรภาพการเงิน,2022-02-26,15:02:00
ดาวโจนส์ดิ่งกว่า 400 จุด จับตารัสเซีย-ยูเครนเจรจาหยุดยิง,2022-02-28,22:07:00
ดาวโจนส์ดิ่งเหว ทรุดกว่า 600 จุด หลังรัสเซียยันเดินหน้าโจมตียูเครน,2022-03-01,23:54:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 500 จุด หุ้นพลังงานนำตลาด,2022-03-02,23:27:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ดิ่งกว่า 300 จุด หุ้นแบงก์ร่วงนำตลาด,2022-03-03,23:34:00
บอนด์ยีลด์สหรัฐร่วง กังวลวิกฤตยูเครน ขณะเมินจ้างงานแกร่ง,2022-03-04,23:35:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดร่วง 251.71 จุด วิตกผลกระทบวิกฤตยูเครน,2022-03-05,07:30:00
META ลงทุน พิโก โซลูชั่นส์ฯ เพิ่มเป็น 99.99%จาก 84.99% รุกตลาดสินเชื่อ,2022-03-06,16:04:00
ดอลลาร์แข็งค่า รับอานิสงส์แรงซื้อสกุลเงินปลอดภัย,2022-03-07,23:58:00
"ดาวโจนส์ดิ่งกว่า 100 จุด ตื่นข่าว ""ไบเดน"" เตรียมคว่ำบาตรน้ำมันรัสเซีย",2022-03-08,22:09:00
"ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 1,200 จุด ดีดตัวขึ้นวันที่ 2",2022-03-09,23:08:00
ดาวโจนส์ดิ่งกว่า 400 จุด กังวลสงครามยืดเยื้อ หลังรัสเซีย-ยูเครนเจรจาคว้าน้ำเหลว,2022-03-10,23:59:00
ดาวโจนส์พุ่งกว่า 100 จุด คาดหวังรัสเซีย-ยูเครนบรรลุดีลหยุดยิง,2022-03-11,22:20:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดบวก 56.55 จุด ขานรับ GDP ดีดตัวแข็งแกร่ง,2022-03-12,07:39:00
บอนด์ยีลด์สหรัฐพุ่งไม่หยุด ล่าสุดทะลุ 2.10% ทำนิวไฮกว่า 2 ปี,2022-03-14,22:56:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 400 จุด คลายกังวลเงินเฟ้อ หลังราคาน้ำมันร่วง,2022-03-15,23:31:00
ดอลลาร์อ่อนค่า ก่อนรู้ผลประชุมเฟด,2022-03-16,23:57:00
บอนด์ยีลด์สหรัฐร่วงลง หลังดีดตัวขานรับผลประชุมเฟด,2022-03-17,23:59:00
ทริสเรทติ้งคงอันดับเครดิตองค์กร & หุ้นกู้ไม่ด้อยสิทธิ ไม่มีหลักประกัน  “บ. ทีพีไอ โพลีน เพาเวอร์” ที่ “BBB+” แนวโน้ม “Stable”,2022-03-18,23:10:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดบวก 19.39 จุด ขานรับเจรจาสันติภาพรัสเซีย-ยูเครน,2022-03-19,07:47:00
ดาวโจนส์เปิดลบ หลังราคาน้ำมันพุ่ง หุ้นโบอิ้งดิ่งหนักหลังเครื่องบินตกในจีน,2022-03-21,20:41:00
ดาวโจนส์พุ่งกว่า 100 จุด หุ้นธนาคารทะยานรับเฟดส่งสัญญาณขึ้นดอกเบี่ย,2022-03-22,20:45:00
บอนด์ยีลด์สหรัฐพุ่งเหนือ 2.41% ทำนิวไฮเกือบ 3 ปี ก่อนชะลอตัวลง,2022-03-23,22:53:00
ดาวโจนส์พุ่งกว่า 200 จุด คลายกังวลเงินเฟ้อ หลังราคาน้ำมันร่วง,2022-03-24,22:52:00
บอนด์ยีลด์สหรัฐพุ่งไม่หยุด ล่าสุดทะลุ 2.50% นิวไฮรอบเกือบ 3 ปี,2022-03-25,22:33:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดบวก 15.97 จุด หุ้นพลังงาน-ส่งออกหนุนตลาด,2022-03-26,07:48:00
ดอลลาร์พุ่งเทียบสกุลเงินหลัก คาดเฟดเร่งขึ้นดอกเบี้ยสกัดเงินเฟ้อ,2022-03-28,23:52:00
บอนด์ยีลด์สหรัฐปรับตัวลง จับตาเจรจาสันติภาพรัสเซีย-ยูเครน,2022-03-29,23:19:00
บอนด์ยีลด์สหรัฐปรับตัวลง จับตาค่าสเปรด หวั่นเกิด inverted yield curve,2022-03-30,23:49:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ลบกว่า 100 จุด หลังบวก 3 วันติด,2022-03-31,21:47:00
ดอลลาร์แข็งค่า เก็งเฟดเดินหน้าเร่งขึ้นดอกเบี้ย แม้ตัวเลขจ้างงานต่ำคาด,2022-04-01,23:52:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดบวก 22.22 จุด กลุ่มสินค้าอุปโภคบริโภคหนุนตลาด,2022-04-02,07:49:00
ดอลลาร์แข็งค่าสอดคล้องบอนด์ยีลด์ดีดตัวรับคาดการณ์เฟดเร่งขึ้นดอกเบี้ย,2022-04-04,23:28:00
ดาวโจนส์พลิกร่วงแดนลบ กังวลตลาดบอนด์ส่งสัญญาณเศรษฐกิจถดถอย,2022-04-05,21:52:00
ดาวโจนส์เปิดแดนลบ วิตกเฟดเร่งขึ้นดอกเบี้ยกระทบเศรษฐกิจ,2022-04-06,21:35:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด กังวลเจรจารัสเซีย-ยูเครนไม่คืบ,เฟดขึ้นดบ.",2022-04-07,22:13:00
ดาวโจนส์พลิกพุ่งกว่า 200 จุด หลังปรับตัวแคบในช่วงแรก,2022-04-08,22:29:00
"S&P หั่นเครดิตหนี้ต่างประเทศของรัสเซียลงสู่ ""ผิดนัดชำระหนี้บางส่วน""",2022-04-09,13:33:00
HEMP เข้าซื้อหุ้นไทยกัญชง 40% มูลค่า 80 ลบ.เพื่อต่อยอดธุรกิจ,2022-04-10,16:06:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด กังวลเศรษฐกิจสหรัฐถดถอย,2022-04-11,23:50:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ร่วงเกือบ 400 จุด นักลงทุนจับตาตัวเลขเงินเฟ้อ,2022-04-12,23:07:00
ดาวโจนส์เปิดตลาดแทบไม่ขยับ นักลงทุนยังกังวลเงินเฟ้อ-จับตารายงานผลประกอบการ,2022-04-13,20:41:00
"ยูโรอ่อนค่าเทียบดอลลาร์,เยน หลัง ECB ไม่ส่งสัญญาณขึ้นดอกเบี้ย",2022-04-14,23:50:00
ตลาดหุ้นสหรัฐปิดทำการวันนี้ เนื่องในวัน Good Friday,2022-04-15,18:30:00
ก.ล.ต.ศรีลังกาสั่งตลาดหุ้นโคลัมโบระงับการเทรดในสัปดาห์หน้า,2022-04-16,14:11:00
รูเบิลปรับตัวแคบ แต่คาดพุ่งขึ้นเดือนนี้จากอานิสงส์บริษัทรัสเซียเสียภาษี,2022-04-18,23:49:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 400 จุด จับตาผลประกอบการ,2022-04-19,23:28:00
ดอลลาร์อ่อนค่าเทียบสกุลเงินหลัก สอดคล้องบอนด์ยีลด์ชะลอตัว,2022-04-20,23:49:00
"ยูโรแข็งค่า เก็ง ""มาครง"" ชนะเลือกตั้งอาทิตย์นี้",2022-04-21,23:04:00
ดาวโจนส์ทรุดกว่า 500 จุด ผวาเฟดเร่งขึ้นดอกเบี้ยทุบเศรษฐกิจวูบ,2022-04-22,22:08:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดร่วง 106.27 จุด วิตกขึ้นดอกเบี้ย-ยอดค้าปลีกร่วง,2022-04-23,08:30:00
"ดัชนีดอลลาร์พุ่งนิวไฮ 2 ปี รับอานิสงส์สกุลเงินปลอดภัย,เก็งเฟดขึ้นดบ.แรง",2022-04-25,23:34:00
ดาวโจนส์ทรุดกว่า 500 จุด ผวารัสเซียเตือนอาจเกิดสงครามนิวเคลียร์,2022-04-26,23:21:00
ดัชนีดอลลาร์พุ่งเหนือ 103 นิวไฮ 5 ปี เก็งเฟดขึ้นดอกเบี้ยแรงสัปดาห์หน้า,2022-04-27,23:50:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 300 จุด จับตาตัวเลขศก.ก่อนประชุมเฟดสัปดาห์หน้า,2022-04-28,23:41:00
ดาวโจนส์ดิ่งเหว ล่าสุดทรุดกว่า 500 จุด ก่อนปิดฉากหุ้นตกหนักเดือนเม.ย.,2022-04-29,23:51:00
"กสิกรไทยคาด SET สัปดาห์หน้าแกว่ง 1,625-1,700 จุด จับตาประชุมเฟด-สงครามรัสเซีย",2022-04-30,10:54:00
ดาวโจนส์เปิดบวก แต่ถูกหุ้นเติบโตกดดันตลาด,2022-05-02,20:43:00
ดอลลาร์อ่อนค่าเทียบสกุลเงินหลัก นักลงทุนจับตาประชุมเฟด,2022-05-03,23:53:00
ดอลลาร์ปรับตัวแคบ ก่อนรู้ผลการประชุมเฟด,2022-05-04,23:45:00
บอนด์ยีลด์สหรัฐพุ่งทะลุ 3% นิวไฮ 4 ปี ขานรับทิศทางดอกเบี้ยขาขึ้น,2022-05-05,23:28:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดทรุดกว่า 400 จุด ผวาจ้างงานแข็งแกร่งหนุนเฟดเร่งขึ้นดอกเบี้ย,2022-05-06,21:05:00
GPSC เผยผลประกอบการ Q1/65 รายได้โต 64% แต่กำไรหดจากต้นทุนเชื้อเพลิงพุ่ง,2022-05-07,12:05:00
ค่าเงินลีราตุรกีดิ่งเป็นประวัติการณ์ ขณะเงินเฟ้อพุ่งสูงสุด 20 ปี,2022-05-09,23:33:00
"ดาวโจนส์ดิ่งกว่า 300 จุด หลุดแนว 32,000 ขายลดความเสี่ยง ลุ้นตัวเลขเงินเฟ้อพรุ่งนี้",2022-05-10,23:37:00
ดาวโจนส์รีบาวด์ พลิกพุ่งกว่า 300 จุด เมินเงินเฟ้อพุ่งเกินคาด,2022-05-11,21:34:00
"บอนด์ยีลด์สหรัฐร่วง นลท.ปิดรับความเสี่ยง หนีจากหุ้น,คริปโทฯหันเข้าซื้อพันธบัตร",2022-05-12,23:54:00
บอนด์ยีลด์สหรัฐดีดตัว นักลงทุนเปิดรับความเสี่ยง หันเข้าซื้อหุ้น ขณะขายพันธบัตร,2022-05-13,23:45:00
WHAUP เผยธุรกิจน้ำ-พลังงาน Q1/65 ยังโตต่อเนื่อง แม้กำไรหดเหตุรับรู้ส่วนแบ่งกำไรลดลง,2022-05-14,14:24:00
"CBG เผย""เสถียร เศรษฐสิทธิ์""ลาออกประธานบอร์ด คงนั่ง CEO มีผล 14 พ.ค.65",2022-05-15,17:47:00
ดอลล์อ่อนเทียบยูโร หลัง ECB ส่อแววขึ้นดอกเบี้ยเร็ว ๆ นี้,2022-05-16,19:44:00
บอนด์ยีลด์สหรัฐดีดตัวใกล้แตะ 3% แรงขายสินทรัพย์ปลอดภัยฉุดพันธบัตร,2022-05-17,22:51:00
ดาวโจนส์ทรุดกว่า 800 จุด กังวลเงินเฟ้อฉุดผลประกอบการ,2022-05-18,23:14:00
ดัชนีดอลลาร์ร่วงต่ำสุด 2 สัปดาห์ หลังพุ่งนิวไฮ 20 ปีก่อนหน้านี้,2022-05-19,23:58:00
"ดาวโจนส์ดิ่งกว่า 300 จุด หลุดแนว 31,000 จุด",2022-05-20,23:37:00
เงินทุนไหลออกจากกองทุนพันธบัตรโลกสัปดาห์นี้สูงสุดในรอบกว่า 3 เดือน,2022-05-21,14:21:00
ดอลลาร์อ่อนค่า นักลงทุนเทขายสกุลเงินปลอดภัย,2022-05-23,23:31:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ดิ่งกว่า 200 จุด หุ้นบริษัทน้ำตาลร่วงระนาว,2022-05-24,21:40:00
บอนด์ยีลด์สหรัฐปรับตัวลง นักลงทุนรอลุ้นรายงานเฟด,2022-05-25,23:30:00
"ดาวโจนส์ร้อนแรง ล่าสุดพุ่งกว่า 500 จุด ขานรับผลประกอบการ,รายงานเฟด",2022-05-26,23:18:00
"ดาวโจนส์พุ่งกว่า 300 จุด ใกล้ทะลุ 33,000 คลายกังวลเงินเฟ้อ ก่อนหยุดยาวสุดสัปดาห์",2022-05-27,22:38:00
"กสิกรไทยมองกรอบ SET สัปดาห์หน้า 1,600-1.665 จุด จับตามาตรการกระตุ้นศก.H2/65",2022-05-28,14:01:00
รูเบิลยืนเหนือ 61 เทียบดอลลาร์ หลังรัสเซียคุมเงินทุน-บังคับ EU ซื้อก๊าซเป็นรูเบิล,2022-05-30,19:23:00
ดาวโจนส์เปิดตลาดติดลบ นลท.ชะลอซื้อขณะจับตาไบเดนหารือพาวเวลเรื่องเงินเฟ้อ,2022-05-31,20:42:00
ดอลลาร์แข็งค่า รับอานิสงส์บอนด์ยีลด์ดีดตัว,2022-06-01,23:58:00
ดอลลาร์อ่อนค่าเทียบสกุลเงินหลัก นักลงทุนเปิดรับความเสี่ยง,2022-06-02,23:58:00
ผู้เชี่ยวชาญคาดเงินคริปโทฯ จำนวนมากจะพังทลาย อนาคตเหลือบล็อกเชนไม่กี่เจ้า,2022-06-03,22:39:00
สหรัฐเผยปชช.กว่า 4.6 หมื่นคนตกเป็นเหยื่อกลโกงคริปโทฯสูญเงินกว่า 1 พันล้านดอลล์,2022-06-04,15:34:00
"ปอนด์แข็งค่า เก็ง ""บอริส จอห์นสัน"" คว้าชัยชนะในการลงมติไม่ไว้วางใจวันนี้",2022-06-06,23:37:00
ดาวโจนส์ดิ่งกว่า 200 จุด กังวลธุรกิจค้าปลีกซบฉุดเศรษฐกิจสหรัฐถดถอย,2022-06-07,21:00:00
บอนด์ยีลด์สหรัฐดีดตัวเหนือ 3% จับตาเงินเฟ้อสหรัฐ,2022-06-08,23:19:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 400 จุด หลังร่วง 4 วันติด,2022-06-09,23:07:00
ดาวโจนส์ทรุดเกือบ 800 จุด ผวาเฟดขึ้นดบ.แรงกว่าคาดสัปดาห์หน้า,2022-06-10,23:43:00
"กสิกรฯ มองกรอบหุ้นสัปดาห์หน้า 1,600-1,665 จับตาประชุมเฟด-FLOW-วิกฤตยูเครน-ตัวเลขศก.-ศบค.",2022-06-11,09:30:00
ดาวโจนส์ทรุดกว่า 800 จุด หุ้นร่วงยกแผง กังวลเฟดใช้ยาแรงขึ้นดอกเบี้ย 0.75%,2022-06-13,22:02:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด หวั่นเฟดขึ้นดอกเบี้ยแรงฉุดเศรษฐกิจถดถอย,2022-06-14,23:46:00
บอนด์ยีลด์สหรัฐปรับตัวลง ก่อนรู้ผลประชุมเฟด,2022-06-15,21:55:00
ฟรังก์สวิสพุ่ง ขานรับแบงก์ชาติสวิสขึ้นดอกเบี้ยครั้งแรกรอบ 15 ปี,2022-06-16,23:17:00
"บอนด์ยีลด์สหรัฐปรับตัวลง จับตาถ้อยแถลง ""พาวเวล""",2022-06-17,23:23:00
บิตคอยน์ร่วงหลุดระดับ 2 หมื่นดอลลาร์แล้ว จากวิตกเศรษฐกิจโลกชะลอตัว,2022-06-18,16:11:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ปิดบวก 237.42 จุด รับแรงซื้อหุ้นไอที,2022-06-20,18:13:00
รูเบิลพุ่งนิวไฮ 7 ปี ทำสถิติสกุลเงินแข็งค่ามากสุดในโลกตั้งแต่ต้นปี 65,2022-06-21,22:26:00
"ดาวโจนส์พุ่งไม่หยุด ล่าสุดบวกกว่า 100 จุด ขานรับถ้อยแถลง ""พาวเวล""",2022-06-22,21:42:00
"ดาวโจนส์เปิดแดนบวก รับแรงซื้อหุ้นเติบโต-จับตา ""พาวเวล"" แถลงวันที่ 2",2022-06-23,21:17:00
ดอลลาร์อ่อนค่า หลังคลายกังวลเงินเฟ้อ,2022-06-24,23:56:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดพุ่ง 188.36 จุด แรงซื้อหุ้นปลอดภัยหนุนตลาด,2022-06-25,07:19:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 400 จุด บวกวันที่ 3 ตามภูมิภาค,2022-06-27,23:05:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด กังวลเงินเฟ้อ,ศก.ถดถอย",2022-06-28,23:58:00
ดอลลาร์พุ่งแตะ 137 เยน นิวไฮ 24 ปี ขานรับเฟดเดินหน้าขึ้นดบ.สวนทาง BOJ,2022-06-29,23:33:00
บอนด์ยีลด์สหรัฐร่วงต่ำกว่า 3% หลังสหรัฐเผยดัชนี PCE ต่ำกว่าคาด,2022-06-30,23:44:00
บอนด์ยีลด์สหรัฐร่วง นักลงทุนซื้อพันธบัตร กังวลเศรษฐกิจถดถอย,2022-07-01,22:34:00
"""วอยเอเจอร์"" โบรกเกอร์คริปโทฯรายใหญ่สั่งระงับธุรกรรมทั้งหมด อ้างตลาดแย่",2022-07-02,12:07:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 300 จุด ตลาดฟื้นตัวหลังดิ่งลงช่วงแรก,2022-07-04,20:01:00
ดัชนีดอลลาร์ทะลุ 106 นิวไฮ 20 ปี แห่ซื้อดอลลาร์ในฐานะสกุลเงินปลอดภัย,2022-07-05,23:40:00
ดาวโจนส์ร่วงต่อเนื่อง ล่าสุดดิ่งกว่า 100 จุด กังวลเศรษฐกิจถดถอย,2022-07-06,23:01:00
ดาวโจนส์พุ่งกว่า 200 จุด ดีดตัวต่อเนื่องจากวานนี้,2022-07-07,20:44:00
ดาวโจนส์พลิกพุ่งเกือบ 100 จุด มองบวกตัวเลขจ้างงานสะท้อนเศรษฐกิจแกร่ง,2022-07-08,22:07:00
ภาวะตลาดหุ้นนิวยอร์กดาวโจนส์ปิดลบ 46.40 จุด กังวลเฟดเร่งขึ้นดอกเบี้ยหลังจ้างงานแกร่ง,2022-07-09,06:16:00
บอนด์ยีลด์สหรัฐร่วง นักลงทุนปิดรับความเสี่ยง กังวลเศรษฐกิจถดถอย,2022-07-11,23:07:00
ดาวโจนส์พลิกดีดตัวกว่า 100 จุด หลังร่วงช่วงแรก จับตาผลประกอบการแบงก์,2022-07-12,22:21:00
ดาวโจนส์เปิดร่วงกว่า 200 จุด วิตกดัชนี CPI สหรัฐพุ่ง,2022-07-13,21:05:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ลบเกือบ 100 จุด ร่วงวันที่ 4 กังวลเฟดเร่งขึ้นดบ.,2022-07-14,22:27:00
ดอลลาร์อ่อนค่า หลังนักลงทุนลดคาดการณ์เฟดขึ้นดอกเบี้ย 1.00%,2022-07-15,23:56:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดบวก 119.20 จุด หุ้นพลังงาน-หุ้นปลอดภัยหนุนตลาด,2022-07-16,07:58:00
ดอลลาร์อ่อนค่า เก็งเฟดไม่ขึ้นดอกเบี้ยแรง 1.00%,2022-07-18,23:05:00
ดอลลาร์อ่อนค่าวันที่ 3 เก็งเฟดไม่ขึ้นดอกเบี้ยแรง 1.00%,2022-07-19,23:45:00
หุ้น Coinbase พุ่ง หลังแจงไม่มีเอี่ยวแพลตฟอร์มคริปโทล้มละลาย,2022-07-20,22:47:00
"บอนด์ยีลด์สหรัฐร่วง จับตาประชุมเฟด,ตัวเลข GDP สัปดาห์หน้า",2022-07-21,23:35:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งเกือบ 400 จุด แรงซื้อต่างชาติหนุนตลาด,2022-07-22,23:52:00
"บล.กสิกรฯ คาดดัชนีหุ้นไทยสัปดาห์หน้า 1,525-1,580 จับตาประชุมเฟด, ผลประกอบการ Q2",2022-07-23,09:29:00
